chinchilla,optimizer,batch,best_lr,dclm_loss,n_lrs
0.25,adamw,1M,0.056,5.2805,9
0.25,adamw,2M,0.11,6.0838,8
0.25,adamw,4M,0.16,6.6284,8
0.25,muon,1M,0.014,4.5051,8
0.25,muon,2M,0.0099,5.1322,8
0.25,muon,4M,0.014,6.0334,8
0.5,adamw,1M,0.056,4.5523,9
0.5,adamw,2M,0.079,5.2381,8
0.5,adamw,4M,0.16,5.9872,8
0.5,muon,1M,0.01,4.1836,8
0.5,muon,2M,0.014,4.4274,8
0.5,muon,4M,0.014,5.0790,8
1,adamw,1M,0.02,4.1666,10
1,adamw,2M,0.04,4.4319,8
1,adamw,4M,0.056,5.1449,8
1,muon,1M,0.014,3.9994,10
1,muon,2M,0.014,4.0990,8
1,muon,4M,0.014,4.3402,8
2,adamw,1M,0.02,3.9861,11
2,adamw,2M,0.02,4.0834,8
2,adamw,4M,0.028,4.3666,8
2,muon,1M,0.014,3.9081,9
2,muon,2M,0.014,3.9421,8
2,muon,4M,0.014,4.0474,8
4,adamw,1M,0.01,3.8852,11
4,adamw,2M,0.014,3.9377,9
4,adamw,4M,0.014,4.0734,9
4,muon,1M,0.014,3.8497,9
4,muon,2M,0.0099,3.8766,8
4,muon,4M,0.014,3.9089,8
8,adamw,1M,0.014,3.8323,10
8,adamw,2M,0.014,3.8605,8
8,adamw,4M,0.02,3.9065,8
8,muon,1M,0.01,3.8032,8
8,muon,2M,0.0071,3.8204,8
8,muon,4M,0.02,3.8330,8
16,adamw,1M,0.028,3.8363,3
16,muon,1M,0.014,3.7798,9
32,muon,1M,0.007,3.7552,4
64,muon,1M,0.005,3.7434,3
